,Neighborhood,Chiropractor,Dentist,Doctor's Office,Family Medicine Doctor,General Surgeon,Health and Medicine,Home Health Care Service,Hospital,Internal Medicine Doctor,Medical Center,Medical Lab,Nursing Home,Nutritionist,Ophthalmologist,Optometrist,Pediatrician,Physical Therapy Clinic,Psychiatrist,Urgent Care Center,Veterinarian
0,Edenwald,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Coop City,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Coop City,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kingsbridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Kingsbridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Kings Bridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kings Bridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Williamsbridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Norwood,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Williamsbridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Pelham Parkway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Allerton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,City Island,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Belmont,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Morris Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Morris Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Fordham,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,East Tremont,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,East Tremont,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Concourse,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Melrose,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Mill Brook Houses,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Mill Brook Houses,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Melrose,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,East Morrisania,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Melrose,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Silver Beach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Unionport,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Parkchester,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Unionport,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
