Place_name,Latitude,Longitude,Address,Borough,Neighborhood,Category_name
"Steven Berkowitz, DDS",40.881423,-73.904127,"237 W 233rd St, Bronx, NY 10463",Bronx,Kings Bridge,Health and Medicine
"Rizzo, Mariano Dr - Medical Group of City Islands",40.848252,-73.786562,"340 City Island Ave, Bronx, NY 10464",Bronx,City Island,Health and Medicine
Mercy Midwives Women's Health Center,40.866688,-73.884923,"2847 Webster Ave, Bronx, NY 10458",Bronx,Belmont,Health and Medicine
Lens Lab Express,40.821202,-73.891329,"940 Southern Blvd, Bronx, NY 10459",Bronx,East Morrisania,Health and Medicine
OLA Wellness,40.845529,-73.827819,"1634 Mahan Ave, Bronx, NY 10461",Bronx,Unionport,Health and Medicine
Andre J Singer DDS,40.612984,-74.000527,"7810 17th Ave, Brooklyn, NY 11214",Brooklyn,New Utrecht,Health and Medicine
"Aizman Alexander, MD",40.589098,-73.949748,"2960 Ocean Ave, Brooklyn, NY 11235",Brooklyn,Sheepshead Bay,Health and Medicine
Park Sports Physical T,40.660867,-73.990656,"670 6th Ave (20th St.), Brooklyn, NY 11215",Brooklyn,Park Slope,Health and Medicine
Housing Works Community Health Center,40.674789,-73.874645,"2640 Pitkin Ave, Brooklyn, NY 11208",Brooklyn,City Line,Health and Medicine
Davis Visionworks,40.653903,-73.871654,"494 Gateway Dr, Brooklyn, NY 11239",Brooklyn,Spring Creek,Health and Medicine
Concept Sharpening / Steve's Sharpening Service,40.610448,-73.911905,"2248 E 59th Pl, New York, NY 11234",New York,Mill Island,Health and Medicine
St Joachim & Anne Residences,40.57251,-73.99324,"2720 Surf Ave, Brooklyn, NY 11224",Brooklyn,Coney Island,Health and Medicine
Bravo Volunteer Ambulance Service,40.618988,-74.020723,"8507 7th Ave (86th St), Brooklyn, NY 11228",Brooklyn,Dyker Heights,Health and Medicine
Shorefront Jewish Geriatric Center,40.572637,-73.994507,"3015 W 29th St, Brooklyn, NY 11224",Brooklyn,Coney Island,Health and Medicine
Performance Edge Chiropractic,40.619845,-73.906857,"7112 Avenue U, Brooklyn, NY 11234",Brooklyn,Georgetown,Health and Medicine
Zuckerman Research Center,40.765216,-73.956835,"410 E 69th St, New York, NY 10021",New York,Lenox Hill,Health and Medicine
Ryan Health,40.793644,-73.967551,"110 W 97th St, New York, NY 10025",New York,Manhattan Valley,Health and Medicine
Mount Sinai Morningside Main Hospital Entrance,40.805632,-73.961413,"1111 Amsterdam Ave (at West 114th St.), New York, NY 10025",New York,Harlem,Health and Medicine
First Class Medical Pc,40.698383,-73.833722,"8715 115th St, New York, NY 11418",New York,Richmond Hill,Health and Medicine
Interstate Vets,40.727824,-73.891876,"7108 Grand Ave, Maspeth, NY 11378",Maspeth,Maspeth,Health and Medicine
ProHEALTH Urgent Care of College Point,40.786623,-73.836241,"1 14TH Ave, College Point, NY 11356",College Point,College Point,Health and Medicine
Caliper Orthodontics,40.772199,-73.734546,"25503 Northern Blvd (Morgan St), Little Neck, NY 11362",Little Neck,Little Neck,Health and Medicine
Zucker Hillside Hospital,40.749769,-73.712078,"7559 263rd St, Glen Oaks, NY 11004",Glen Oaks,Glen Oaks,Health and Medicine
Family Foot Care In Queens,40.703882,-73.797927,"16110 Jamaica Ave, Jamaica, NY 11432",Jamaica,Jamaica,Health and Medicine
Krg Medical PC,40.717532,-73.739759,"21533 Jamaica Ave, Queens Village, NY 11428",Queens Village,Cambria Heights,Health and Medicine
Rosedale Dental,40.657236,-73.745471,"23520 147th Ave, Rosedale, NY 11422",Rosedale,Brookville,Health and Medicine
Empire Medical of Rockaway Beach,40.587323,-73.813679,"8820 Rockaway Beach Blvd (88th street), Rockaway Beach, NY 11693",Queens,Seaside,Health and Medicine
21 Avenue Animal Clinic PC,40.782063,-73.913911,"2127 21st Ave, Astoria, NY 11105",Astoria,Astoria,Health and Medicine
Home Base Crisis Intervention,40.584125,-73.822921,"230 Beach 102nd St, Rockaway Park, NY 11694",Rockaway Park,Seaside,Health and Medicine
Yoen Cho Physical Therapy PC,40.762969,-73.813767,"15015 41st Ave, Flushing, NY 11354",Flushing,Flushing,Health and Medicine
Jin Yiping Newyork Presbyterian Queens Hospital Flushing,40.747137,-73.825257,"5645 Main St (at Booth Memorial Ave.), Flushing, NY 11355",Flushing,Queensboro Hills,Health and Medicine
Associated For The Help Of Retarded Children,40.666217,-73.849873,"8420 153rd Ave, Howard Beach, NY 11414",Howard Beach,Lidenwood,Health and Medicine
Advanced Cosmetic Surgery,40.674387,-73.73193,"13333 Brookville Blvd, Rosedale, NY 11422",Rosedale,Laurelton,Health and Medicine
Fishman CTR For Total Eye Care,40.732523,-73.866861,"9229 Queens Blvd, Rego Park, NY 11374",Rego Park,LeFrak City,Health and Medicine
Shop Eyeglasses Today,40.752272,-73.870817,"3537 Junction Blvd, Corona, NY 11368",Corona,Corona,Health and Medicine
St Joseph Medical Center,40.62482,-74.074802,"700 Bay St, Staten Island, NY 10304",Staten Island,St. George,Health and Medicine
CityMD Richmond Urgent Care - Staten Island,40.594008,-74.162446,"2187 Richmond Ave, Staten Island, NY 10314",Staten Island,New Springville,Health and Medicine
Victory Veterinary Practice,40.588362,-74.195771,"4316 Victory Blvd, Staten Island, NY 10314",Staten Island,Chelsea,Health and Medicine
Staten Island Veterinary Group,40.59569,-74.184508,"3875 Victory Blvd, Staten Island, NY 10314",Staten Island,Chelsea,Health and Medicine
Neighborhood Health Center Elizabeth,40.650329,-74.184351,"184 1st St, Elizabeth, NJ 07206",Elizabeth,Port Ivory,Health and Medicine
Institute For Community Living,40.657312,-73.914146,"469 E 98th St, Brooklyn, NY 11212",Brooklyn,Brownsville,Health and Medicine
Lincoln Ferguson Medical PC,40.637345,-73.896969,"9424 Avenue L, Brooklyn, NY 11236",Brooklyn,Canarsie,Health and Medicine
Statcare Urgent & Walk-In Medical Care (Astoria),40.77183,-73.908981,"3715 23rd Ave, Astoria, NY 11105",Astoria,Astoria,Health and Medicine
Tribeca Pediatrics - Upper East Side,40.762151,-73.962484,"304 E 62nd St (Bet 1st & 2nd), New York, NY 10065",New York,Lenox Hill,Health and Medicine
CityMD Sunnyside Urgent Care- Queens,40.742584,-73.917228,"4716 Greenpoint Ave, Sunnyside, NY 11104",Sunnyside,Dutch Kills,Health and Medicine
Sunshine Infusions,40.516188,-74.234013,"7001 Amboy Rd, Staten Island, NY 10307",Staten Island,Harbor Terrace,Health and Medicine
Doshi Diagnostics,40.648818,-73.943767,"1014 Brooklyn Ave (btwn Tilden & Snyder Ave.), Brooklyn, NY 11203",Brooklyn,East Flatbush,Health and Medicine
Universal Physical Therapy,40.587647,-73.811558,"8624 Rockaway Beach Blvd, Rockaway Beach, NY 11693",Rockaway Beach,Hammels,Health and Medicine
Banfield Pet Hospital,40.892948,-73.817912,"830 Pelham Pkwy, Pelham, NY 10803",Pelham,Parkside,Optometrist
Montefiore Medical Group,40.877646,-73.905956,"5525 Broadway, Bronx, NY 10463",Bronx,Kings Bridge,Optometrist
Montefiore Medical Center,40.880007,-73.879724,"111 E 210th St, Bronx, NY 10467",Bronx,Norwood,Optometrist
Providence Rest,40.837426,-73.817334,"3304 Waterbury Ave, Bronx, NY 10465",Bronx,Schuvilerville,Optometrist
Healthway Medical Care Pc,40.850201,-73.893546,"552 E 180th St, Bronx, NY 10457",Bronx,East Tremont,Optometrist
D And D Medical,40.833104,-73.863553,"1310 Leland Ave, Bronx, NY 10472",Bronx,Parkchester,Optometrist
Essen Medical Associates,40.845846,-73.921524,"1550 Dr Martin L King Jr Blvd, New York, NY 10452",New York,Morris Heights,Optometrist
Manhattan Psychiatric Center,40.789095,-73.92965,"1 Wards Is, New York, NY 10035",New York,Spanish Harlem,Optometrist
Madison MRI,40.82041,-73.913257,"3055 3rd Ave (156th Street), Bronx, NY 10451",Bronx,Melrose,Optometrist
Luis E Guerrero,40.830401,-73.865773,"1216 Beach Ave, Bronx, NY 10472",Bronx,Parkchester,Optometrist
Metro Optics Eyewear - Throggs Neck,40.823466,-73.83735,"815 Hutchinson River Pkwy, Bronx, NY 10465",Bronx,Castle Hill,Optometrist
Earl Christopher DVM Middletown Animal Clinic,40.843669,-73.830859,"2968 Middletown Rd, Bronx, NY 10461",Bronx,Unionport,Optometrist
Bronx Park Womens Health,40.850551,-73.865593,"2016 Bronxdale Ave, Bronx, NY 10462",Bronx,Van Nest,Optometrist
"Friedman, Joel M, DDS - Riverdale Oral Surgery",40.885365,-73.914524,"3333 Henry Hudson Pkwy W, Bronx, NY 10463",Bronx,Spuyten Duyvil,Optometrist
Industrial Medicine Associates,40.852053,-73.828271,"3250 Westchester Ave (@ St. Paul Ave), Bronx, NY 10461",Bronx,Westchester,Optometrist
Community Chiropractic of Throggs Neck,40.817854,-73.816156,"4191 E Tremont Ave, Bronx, NY 10465",Bronx,Silver Beach,Optometrist
New York Cancer & Blood Specialists,40.860106,-73.84283,"2330 Eastchester Rd, Bronx, NY 10469",Bronx,Hillside,Optometrist
Quality Control Optics,40.892631,-73.855572,"754 E 233rd St, Bronx, NY 10466",Bronx,Williamsbridge,Optometrist
Mohamed Helal MD,40.628457,-74.025109,"421 78th St, Brooklyn, NY 11209",Brooklyn,Bayridge,Optometrist
Gupta Gastro Associates - Brooklyn Gastroenterology,40.607578,-73.982861,"130 Avenue P, Brooklyn, NY 11204",Brooklyn,Bensonhurst,Optometrist
The Jefferson,40.708967,-73.922041,"455 Jefferson St (Cypress Ave), New York, NY 11237",New York,Bushwick,Optometrist
Interfaith Medical Center,40.678147,-73.937345,"1545 Atlantic Ave (Troy Ave), Brooklyn, NY 11213",Brooklyn,Bedford,Optometrist
Smart Eye Care,40.580693,-73.953435,"37 W End Ave, Brooklyn, NY 11235",Brooklyn,Brighton Beach,Optometrist
Shorefront Jewish Geriatric Center,40.572637,-73.994507,"3015 W 29th St, Brooklyn, NY 11224",Brooklyn,Coney Island,Optometrist
Maimonides Pediatric Primary Care Center,40.630431,-73.996258,"1301 57th St (13th Ave), Brooklyn, NY 11219",Brooklyn,Borough Park,Optometrist
The Brooklyn Hospital Center,40.690104,-73.977933,"121 Dekalb Ave (at Ashland Pl.), Brooklyn, NY 11201",Brooklyn,Clinton Hill,Optometrist
Housing Works Community Health Center,40.674789,-73.874645,"2640 Pitkin Ave, Brooklyn, NY 11208",Brooklyn,City Line,Optometrist
South Side Podiatry,40.619651,-73.908113,"7001 Avenue U, Brooklyn, NY 11234",Brooklyn,Georgetown,Optometrist
Spear Physical Therapy Brooklyn Williamsburg,40.719908,-73.960841,"71 N 7th St (btwn Wythe & Kent Avs), Brooklyn, NY 11249",Brooklyn,North Side,Optometrist
Leung Euston MD,40.617735,-73.969756,"1266 Ocean Pkwy, Brooklyn, NY 11230",Brooklyn,Ocean Parkway,Optometrist
Optically Yours,40.619091,-74.032662,"9215 3rd Ave, Brooklyn, NY 11209",Brooklyn,Bayridge,Optometrist
Mount Sinai West,40.769973,-73.987526,"1000 10th Ave (at 59th Street), New York, NY 10019",New York,San Juan Hill,Optometrist
NYC Health Service,40.749653,-73.999694,"303 9th Ave (28th St.), New York, NY 10001",New York,Chelsea,Optometrist
Spring Ob/Gyn,40.724108,-74.000738,"135 Spring St (Between Wooster and Greene Streets), New York, NY 10012",New York,Downtown,Optometrist
Schweiger Dermatology Group,40.793971,-73.969443,"137 W 96th St, New York, NY 10025",New York,Manhattan Valley,Optometrist
Cardiac Cath Lab,40.805363,-73.961359,"1111 Amsterdam Ave, New York, NY 10025",New York,Harlem,Optometrist
Chung Ying Physical Therapy & Acupuncture,40.707037,-74.0077,"80 Maiden Ln, New York, NY 10038",New York,Downtown,Optometrist
Medical Associates,40.709893,-74.005806,"156 William St (btwn Ann & Beekman St), New York, NY 10038",New York,City Hall,Optometrist
